A_id,B_id,risk,reason
9184112614,9184112615,0.5,"Исходное мероприятие: Образовательные программы для ИТ-специалистов, требующие сотрудничества с ИТ-компаниями.
Наиболее связанное мероприятие: Связь с мероприятием ""..."""
9184112614,9184112616,0.25,"Исходное мероприятие: Формирование квалифицированных IT-специалистов через партнерство образовательных учреждений и компаний.
Наиболее связанное мероприятие: Борьба с интернет-мошенничеством и защита данных.
Объяснение зависимости: Отсутствие эффективного мониторинга утечек данных (связное мероприятие) может повысить риски для информации студентов и инфраструктуры, используемой в рамках первого мероприятия. Однако прямая зависимость слабая: первое мероприятие ориентировано на образование, а второе — на безопасность. Сбой второго мероприятия может вызвать дополнительные затраты на обеспечение безопасности в первом, но без критического воздействия на сроки или основные ресурсы."
9184112614,9184112617,0.3333333333333333,"Исходное мероприятие: Подготовка IT-специалистов через партнерство с ИТ-компаниями, включая нормативные изменения для предоставления льгот.
Наиболее связанное мероприятие: Оценка безопасности ГИС с участием ФСБ и ФСТЭК.
Объяснение зависимости: "
9184112614,9184112624,0.75,"Исходное мероприятие: Формирование кадрового потенциала в области ИТ через партнерство образовательных учреждений и компаний.
Наиболее связанное мероприятие: Разработка универсальной среды безопасной разработки ПО.
Объяснение зависимости: Отказ от создания унифицированной среды (второе мероприятие) лишает студентов (первое мероприятие) практических навыков работы с современными инструментами безопасности. Без развитых инструментов (например, статического анализа кода, фаззинг-тестирования) невозможно достичь требуемых стандартов качества, установленных законодательством. Это парализует процесс подготовки специалистов и делает невозможным предоставление льгот компаниям, участвующим в обучении."
9184112614,9184112626,0.17,"Исходное мероприятие: Образовательные программы ИТ-специальностей с участием компаний.
Наиболее связанное мероприятие: Разработка цифровых платформ ""Университеты"", ""Наука"" и других.
Объяснение зависимости: Прямая зависимость минимальна. Хотя платформа ""Университеты"" может частично автоматизировать процессы управления образованием, она не напрямую связана с конкретными требованиями к ИТ-специальностям или обязательным участием компаний в обучении. Отказ от создания таких платформ не скажется на основных ресурсах (IT-компании, образовательные программы) и временных рамках исходного мероприятия."
9184112614,9184112627,0.3333333333333333,"Исходное мероприятие: Образовательная программа для ИТ-специалистов с привлечением компаний.
Наиболее связанное мероприятие: Платформа для доступа к цифровым образовательным ресурсам.
Объяснение зависимости: Успешность программы требует цифровой инфраструктуры (платформы), которая обеспечивает практическую часть обучения через технологии. Если платформа не работает (задержка, отказ), это повлияет на внедрение программы: сроки будут затянуты из-за недоступности необходимых инструментов, а ресурсы (время, техническая поддержка) придется перераспределять для компенсации дефицита."
9184112614,9184112628,0.25,"Исходное мероприятие: Формирование практико-ориентированного IT-образования с участием компаний для предоставления льгот.
Наиболее связанное мероприятие: Поставка планшетов с отечественной ОС для школьных педагогов.
Объяснение зависимости: Отсутствие успешного формирования IT-компетенций студентов (первое мероприятие) может создать дефицит квалифицированных кадров, необходимых для внедрения цифровых инноваций в образование (второе мероприятие). Однако прямая причинно-следственная связь ограничена: успех второго мероприятия зависит более напрямую от наличия технической базы и государственной политики, чем от уровня IT-подготовки студентов."
9184112614,9184134191,0.167,"Исходное мероприятие: ... Наиболее связанное мероприятие: ... Объяснение зависимости: Непрямая слабая зависимость через общую тему регулирования и внедрения требований законодательства. Однако конкретная функциональная связь отсутствует: первое мероприятие фокусируется на образовании и сотрудничестве с ИТ-компаниями, второе — на административном контроле и автоматизации процессов. Сбой второго мероприятия может повлиять на оперативность проверок соблюдения новых нормативных актов первого события только при наличии явной интеграции систем, которая не указанна в текстах."
9184112614,9184134192,0.25,"Исходное мероприятие: Обучение IT-специалистов через партнерство образовательных учреждений и компаний.
Наиболее связанное мероприятие: Оптимизация государственных услуг и цифровая трансформация через фонд ""Центр стратегических разработок"".
Объяснение зависимости: Прямая связь отсутствует, однако косвенная зависимость существует через интеграцию цифровых инфраструктур (например, системы ""Мои документы"") и нормативные акты. Задержки в внедрении государственных сервисов могут повлиять на доступность ресурсов для образовательных программ (например, сертификационные процедуры). Умеренное влияние на сроки (2) и минимальное влияние на ресурсы (1), поскольку основные ресурсы остаются автономными."
9184112614,9184156545,0.5833333333,"Исходное мероприятие: ... Образование ИТ-специальностей через партнерские программы с компаниями, требующие участие компаний в обучении для получения льгот.
Связное мероприятие: ... Национальная система подтверждения компетенций, обеспечивающая легализацию проверки навыков и снижение времени заполнения вакансий.
Объяснение зависимости: Событие 'связное' может быть вызвано тем, что если не будет возможности использовать эти данные, то это приведёт к тому, что все они будут использоваться вместе. Если первое мероприятие не выполнится из-за проблем с реализацией второго, это повлечёт за собой недостаточную мотивацию компаний участвовать в образовательных программах, так как им не хватает эффективного механизма проверки компетенций. Это создаст цепочку зависимостей, где успешность первого напрямую зависит от функционирования второй системы."
